gene_id,gene_short_name,cluster,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000138670,RASGEF1B,41,0.09086481457178218,1.7677932168349089,0.4,0.22716203642945543,0.1678437064985363,1.271430392314765e-54,3.1840749172336737e-48
ENSG00000145287,PLAC8,61,0.05249027956932091,1.687004393178044,0.906369915579432,0.057912645452011136,0.2626743581665865,7.017391155471079e-176,1.757382810542511e-169
ENSG00000145287,PLAC8,65,0.058875751766782974,2.1119728680336176,0.8504435994930292,0.06922946072129921,0.21683362532217995,2.6484348629367216e-114,6.632541638124005e-108
ENSG00000145287,PLAC8,68,0.067788196889326,2.979606930475631,0.7470355731225297,0.09074293022751045,0.17747875303522298,4.527416230860127e-106,1.1338121652348788e-99
ENSG00000145287,PLAC8,73,0.0728962387131761,2.557816569885337,0.9053763440860215,0.08051484798486197,0.300738882843744,1.6409082083938074e-207,4.109367448985822e-201
ENSG00000145287,PLAC8,75,0.0552863031189543,1.768397965206658,0.9194630872483222,0.060128899012585335,0.25809252808630917,8.473369715629147e-156,2.1220071613092965e-149
ENSG00000138639,ARHGAP24,1,0.09605298994983284,0.3341960636819913,0.2535211267605634,0.37887568257989623,0.1373723646219067,6.786273978381688e-35,1.699503558091072e-28
ENSG00000198189,HSD17B11,57,0.04231332627792544,1.0716935342777256,0.8118811881188119,0.05211763358622523,0.15901022314986632,1.1967823285894655e-123,2.997131905044813e-117
ENSG00000145335,SNCA,10,0.0467037237421702,2.2413155448750217,0.5591939546599496,0.08351972218757464,0.14848897111699116,1.7498187409002015e-54,4.382114818304897e-48
ENSG00000145335,SNCA,12,0.19260145184973654,8.041138836484315,0.8648148148148148,0.22270831691404225,0.513458131719381,9.582661331520059e-220,2.3998098339058973e-213
ENSG00000145335,SNCA,17,0.053071107331734126,2.7182642361372085,0.5464912280701755,0.09711245964394366,0.15451105311143815,6.790251055618486e-98,1.7004995474861765e-91
