gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value,partition_assignment
ENSG00000204472,AIF1,8,0.22546116150048112,2.7392889413236605,0.9325624870179325,0.24176520569837767,0.3383405814491924,0,0,Blast 1
ENSG00000118513,MYB,8,0.2545834979754933,0.6766752992898981,0.6391331440836391,0.3983262334806684,0.2035979232740775,3.3689958717075123e-271,1.237435552674041e-265,Blast 1
ENSG00000105810,CDK6,8,0.33022266869314926,1.9760248162930962,0.8216437028318216,0.40190494682187194,0.2651273749176567,0,0,Blast 1
ENSG00000002586,CD99,8,0.22986275750289376,4.353344587048568,0.9347088555009347,0.24591909678624402,0.1961428880491529,2.849978011201003e-261,1.0467997734921397e-255,Blast 1
ENSG00000135046,ANXA1,8,0.24295153561674865,6.10984202965278,0.9773592743889774,0.2485795571629853,0.36447728214432557,0,0,Blast 1
ENSG00000136810,TXN,8,0.25305721378671003,2.8347816677703173,0.9383784532299384,0.2696750047016493,0.29112419527326916,0,0,Blast 1
ENSG00000070081,NUCB2,8,0.29118817465298186,3.552602281292482,0.9263310946479263,0.3143456765463052,0.35561578476728223,0,0,Blast 1
ENSG00000121691,CAT,8,0.28756817675132246,3.930771321258647,0.9189226614969189,0.31294056485980637,0.33450660172321617,0,0,Blast 1
ENSG00000084207,GSTP1,8,0.24942577445483058,4.587899973950533,0.9547877864709547,0.2612368716788338,0.3320196347917584,0,0,Blast 1
ENSG00000084234,APLP2,8,0.22634259551191946,2.351200138870818,0.8955203212628955,0.25274981498211324,0.2473008481916982,0,0,Blast 1
ENSG00000107566,ERLIN1,8,0.22301179247132427,0.33137700265805314,0.43287405663643286,0.5151886306243341,0.10400645323159446,5.086856225638877e-139,1.868407378533385e-133,Blast 1
ENSG00000111640,GAPDH,8,0.2449801434677557,19.691540246535123,0.9962611645779963,0.24589952130827686,0.39712711294887715,0,0,Blast 1
ENSG00000008394,MGST1,8,0.345082662610033,3.135543923759284,0.941978813265942,0.366338029847608,0.4398680743577507,0,0,Blast 1
ENSG00000111716,LDHB,8,0.24092679036210501,4.475495078344375,0.9538184587689538,0.2525918723286791,0.28151197801556993,0,0,Blast 1
ENSG00000064115,TM7SF3,8,0.25874831851012564,0.8324459902324125,0.7074707470747075,0.36573712705438877,0.19886628679859195,6.744092913749203e-265,2.4771120713129958e-259,Blast 1
ENSG00000257698,AC084033.3,8,0.22708764187677447,1.7841402905201473,0.8321678321678322,0.27288683015444326,0.24649076602067604,0,0,Blast 1
ENSG00000174099,MSRB3,8,0.29099285363934213,0.725848183053913,0.6905075122896905,0.4214188092964021,0.2195298290898771,1.9658804349958495e-292,7.220698496544105e-287,Blast 1
